language,task,tokens,lines,sloc,chars
Elixir,Pascals-triangle,91,13,10,275
Elixir,Perfect-numbers,179,14,11,476
Elixir,Pi,198,18,15,402
Elixir,Population-count,237,21,13,726
Elixir,Power-set,289,30,25,715
Elixir,Primality-by-trial-division,124,12,9,319
Elixir,Priority-queue,274,31,24,886
Elixir,Range-expansion,115,13,11,358
Elixir,Range-extraction,343,31,28,1001
Elixir,Real-constants-and-functions,182,17,15,645
Elixir,Roman-numerals-Decode,257,23,20,622
Elixir,Rot-13,287,47,43,1036
Elixir,Run-length-encoding,290,28,24,892
Elixir,Search-a-list,82,8,6,280
Elixir,Set,256,29,21,593
Elixir,Short-circuit-evaluation,165,23,19,432
Elixir,Sierpinski-carpet,181,17,14,537
Elixir,Sierpinski-triangle,135,15,12,354
Elixir,Sieve-of-Eratosthenes,564,54,47,1694
Elixir,Sleep,66,9,7,243
Elixir,Sort-using-a-custom-comparator,110,10,6,431
Elixir,Sorting-algorithms-Bubble-sort,113,12,9,299
Elixir,Sorting-algorithms-Gnome-sort,132,11,8,332
Elixir,Sorting-algorithms-Insertion-sort,113,11,8,353
Elixir,Sorting-algorithms-Quicksort,66,8,7,173
Elixir,Sorting-algorithms-Selection-sort,72,10,8,274
Elixir,Stack,73,13,8,178
Elixir,String-matching,190,29,12,469
Elixir,Strip-whitespace-from-a-string-Top-and-tail,35,5,4,122
Elixir,Substring,154,13,10,377
Elixir,Substring-Top-and-tail,68,9,8,159
Elixir,Sum-and-product-of-an-array,254,19,18,606
Elixir,Sum-digits-of-an-integer,220,18,16,589
Elixir,Sum-multiples-of-3-and-5,117,16,13,257
Elixir,Symmetric-difference,146,9,4,372
Elixir,Take-notes-on-the-command-line,118,16,11,422
Elixir,Temperature-conversion,122,17,13,294
Elixir,The-Twelve-Days-of-Christmas,177,24,21,612
Elixir,Towers-of-Hanoi,137,15,11,290
Elixir,Vector-products,296,22,16,735
Erlang,100-doors,152,17,13,363
Erlang,24-game,613,66,59,1841
Erlang,99-bottles-of-beer,403,40,33,1336
Erlang,ABC-problem,261,17,13,753
Erlang,Accumulator-factory,86,18,15,279
Erlang,Ackermann-function,77,10,8,192
Erlang,Align-columns,521,39,33,1870
Erlang,Almost-prime,273,25,20,663
Erlang,Anagrams,211,30,25,651
Erlang,Anonymous-recursion,147,17,11,351
Erlang,Anti-primes,235,29,22,654
Erlang,Arbitrary-precision-integers-included-,184,21,17,460
Erlang,Arithmetic-Complex,480,59,42,1476
Erlang,Arithmetic-Integer,150,15,12,461
Erlang,Arithmetic-geometric-mean,172,20,14,398
Erlang,Array-concatenation,72,6,5,97
Erlang,Arrays,302,31,12,1031
Erlang,Averages-Mode,245,22,15,658
Erlang,Averages-Pythagorean-means,315,36,24,1096
Erlang,Babbage-problem,88,12,11,222
Erlang,Balanced-brackets,283,30,21,865
Erlang,Binary-search,187,28,21,694
Erlang,Bitwise-operations,156,14,11,370
Erlang,Bulls-and-cows,444,46,30,1503
Erlang,CSV-data-manipulation,390,37,25,1281
Erlang,Caesar-cipher,275,35,22,813
Erlang,Case-sensitivity-of-identifiers,76,10,7,246
Erlang,Catalan-numbers,268,31,23,640
Erlang,Check-that-file-exists,138,13,9,492
Erlang,Comma-quibbling,174,18,11,524
Erlang,Count-occurrences-of-a-substring,34,2,1,121
Erlang,Create-a-two-dimensional-array-at-runtime,234,19,13,637
Erlang,Create-an-HTML-table,257,26,15,900
Erlang,Cumulative-standard-deviation,333,40,28,932
Erlang,Date-format,308,25,22,1031
Erlang,Day-of-the-week,123,13,8,347
Erlang,Detect-division-by-zero,30,6,5,96
Erlang,Determine-if-a-string-is-numeric,40,5,4,151
Erlang,Digital-root,174,15,9,510
Erlang,Dot-product,94,8,5,257
Erlang,Empty-string,80,9,8,242
Erlang,Entropy,178,20,11,646
Erlang,Ethiopian-multiplication,158,26,20,478
Erlang,Even-or-odd,63,14,10,183
Erlang,Factors-of-an-integer,179,18,14,429
Erlang,Fibonacci-sequence,46,6,3,118
Erlang,Filter,33,3,2,93
Erlang,Five-weekends,644,52,40,1957
Erlang,FizzBuzz,230,28,23,749
Erlang,Function-composition,93,7,6,204
Erlang,Gray-code,117,12,8,283
Erlang,Greatest-common-divisor,55,10,5,133
Erlang,Guess-the-number,114,19,14,338
Erlang,Guess-the-number-With-feedback,187,28,23,552
Erlang,Hailstone-sequence,400,29,24,987
Erlang,Happy-numbers,188,19,14,497
Erlang,Harshad-or-Niven-series,293,27,16,829
Erlang,Haversine-formula,221,18,14,526
Erlang,Horners-rule-for-polynomial-evaluation,48,5,4,112
Erlang,Identity-matrix,105,12,6,385
Erlang,Integer-comparison,175,19,17,521
Erlang,JSON,325,42,40,1159
Erlang,Knapsack-problem-0-1,680,72,65,2496
Erlang,Knuth-shuffle,104,15,9,327
Erlang,Last-Friday-of-each-month,254,19,13,743
Erlang,Leap-year,27,5,3,87
Erlang,Least-common-multiple,72,16,10,173
Erlang,Levenshtein-distance,317,36,31,828
Erlang,Logical-operations,41,11,10,121
Erlang,Look-and-say-sequence,205,19,12,582
Erlang,Loop-over-multiple-arrays-simultaneously,41,4,3,111
Erlang,Loops-Break,93,18,14,263
Erlang,Loops-Continue,131,22,16,335
Erlang,Loops-Do-while,72,12,10,162
Erlang,Loops-For,126,25,17,379
Erlang,Loops-N-plus-one-half,75,15,11,204
Erlang,Loops-Nested,207,22,14,672
Erlang,Loops-While,73,13,9,179
Erlang,Luhn-test-of-credit-card-numbers,214,23,17,605
Erlang,Map-range,54,6,4,120
Erlang,Middle-three-digits,253,40,35,667
Erlang,Monty-Hall-problem,254,28,23,791
Erlang,Multiplication-tables,247,25,16,599
Erlang,Mutual-recursion,143,14,10,324
Erlang,N-queens-problem,997,84,59,2779
Erlang,Nth-root,73,7,6,255
Erlang,Number-names,661,78,72,1677
Erlang,Number-reversal-game,300,24,16,961
Erlang,Ordered-words,220,22,14,800
Erlang,Palindrome-detection,169,19,11,556
Erlang,Pangram-checker,49,6,4,150
Erlang,Parsing-RPN-calculator-algorithm,374,44,35,1266
Erlang,Pascals-triangle,69,9,7,162
Erlang,Perfect-numbers,33,3,2,81
Erlang,Pi,231,30,22,467
Erlang,Population-count,360,51,41,973
Erlang,Power-set,64,7,5,168
Erlang,Primality-by-trial-division,85,8,6,229
Erlang,Priority-queue,292,29,19,906
Erlang,Range-expansion,146,15,8,431
Erlang,Range-extraction,407,22,14,1056
Erlang,Real-constants-and-functions,380,36,29,869
Erlang,Reverse-a-string,37,5,4,105
Erlang,Roman-numerals-Decode,206,21,17,556
Erlang,Rot-13,99,7,6,238
Erlang,Run-length-encoding,434,47,39,1378
Erlang,Search-a-list,198,16,12,582
Erlang,Short-circuit-evaluation,185,23,15,528
Erlang,Sierpinski-carpet,174,20,15,447
Erlang,Sierpinski-triangle,111,12,9,308
Erlang,Sieve-of-Eratosthenes,391,34,26,1104
Erlang,Sleep,41,7,6,130
Erlang,Sort-using-a-custom-comparator,176,13,7,585
Erlang,Sorting-algorithms-Bubble-sort,164,17,11,480
Erlang,Sorting-algorithms-Gnome-sort,87,10,8,211
Erlang,Sorting-algorithms-Insertion-sort,72,9,6,189
Erlang,Sorting-algorithms-Quicksort,319,21,18,785
Erlang,Sorting-algorithms-Selection-sort,115,17,15,345
Erlang,Stack,117,15,14,282
Erlang,String-concatenation,37,5,4,91
Erlang,String-matching,256,29,17,836
Erlang,Strip-whitespace-from-a-string-Top-and-tail,87,10,6,323
Erlang,Substring-Top-and-tail,101,9,8,316
Erlang,Sum-and-product-of-an-array,52,7,3,131
Erlang,Sum-digits-of-an-integer,96,16,12,289
Erlang,Sum-multiples-of-3-and-5,131,9,7,269
Erlang,Symmetric-difference,107,12,9,349
Erlang,Take-notes-on-the-command-line,191,25,16,676
Erlang,Temperature-conversion,131,16,11,328
Erlang,The-Twelve-Days-of-Christmas,273,21,16,927
Erlang,Towers-of-Hanoi,78,7,6,152
Erlang,Vector-products,254,22,21,568
F#,100-doors,75,9,8,189
F#,100-prisoners,440,38,31,1679
F#,24-game,1468,107,93,4839
F#,99-bottles-of-beer,141,13,12,460
F#,ABC-problem,314,31,27,1141
F#,Accumulator-factory,199,21,17,521
F#,Ackermann-function,105,8,7,254
F#,Align-columns,371,34,27,1265
F#,Almost-prime,173,20,15,477
F#,Anagrams,127,9,8,353
F#,Anonymous-recursion,69,6,4,161
F#,Anti-primes,50,2,1,133
F#,Arbitrary-precision-integers-included-,95,7,6,279
F#,Arithmetic-Complex,468,46,39,1591
F#,Arithmetic-Integer,73,5,4,176
F#,Arithmetic-geometric-mean,67,6,4,161
F#,Array-concatenation,41,5,4,76
F#,Arrays,126,16,15,404
F#,Averages-Arithmetic-mean,76,5,4,139
F#,Averages-Mode,184,11,10,788
F#,Averages-Pythagorean-means,217,19,14,582
F#,Babbage-problem,38,4,3,100
F#,Balanced-brackets,169,23,16,576
F#,Binary-search,117,13,11,406
F#,Bitwise-operations,140,10,8,352
F#,Bulls-and-cows,469,69,58,1749
F#,CSV-data-manipulation,98,15,13,373
F#,Caesar-cipher,95,14,11,350
F#,Case-sensitivity-of-identifiers,41,5,4,121
F#,Catalan-numbers,54,2,1,121
F#,Check-that-file-exists,27,6,5,118
F#,Classes,108,16,12,380
F#,Comma-quibbling,115,15,12,342
F#,Count-occurrences-of-a-substring,133,17,13,458
F#,Create-a-two-dimensional-array-at-runtime,56,8,6,169
F#,Create-an-HTML-table,389,45,39,1403
F#,Date-format,52,6,5,159
F#,Day-of-the-week,52,6,4,145
F#,Department-numbers,144,5,3,365
F#,Detect-division-by-zero,82,10,7,251
F#,Digital-root,90,8,5,297
F#,Dot-product,63,4,3,208
F#,Empty-string,80,9,7,273
F#,Entropy,90,12,8,269
F#,Ethiopian-multiplication,98,10,9,287
F#,Factorial,102,7,1,293
F#,Factors-of-an-integer,70,7,6,282
F#,Fibonacci-sequence,87,10,9,210
F#,Filter,47,5,3,94
F#,Five-weekends,336,35,27,1094
F#,FizzBuzz,90,9,8,256
F#,Function-composition,39,7,4,108
F#,Gray-code,76,3,1,177
F#,Greatest-common-divisor,97,6,4,254
F#,Guess-the-number-With-feedback,222,31,25,1062
F#,Hailstone-sequence,188,15,12,528
F#,Happy-numbers,384,30,27,2056
F#,Harshad-or-Niven-series,183,21,17,541
F#,Haversine-formula,278,26,18,684
F#,Horners-rule-for-polynomial-evaluation,40,5,3,94
F#,Identity-matrix,320,12,11,522
F#,Integer-comparison,109,9,8,316
F#,JSON,86,8,6,266
F#,Knapsack-problem-0-1,437,23,20,1258
F#,Knuth-shuffle,131,11,10,622
F#,Leap-year,48,6,5,148
F#,Least-common-multiple,38,4,2,90
F#,Levenshtein-distance,316,33,24,1010
F#,Logical-operations,87,7,5,245
F#,Look-and-say-sequence,148,21,17,392
F#,Loop-over-multiple-arrays-simultaneously,51,4,3,90
F#,Loops-Break,58,5,3,150
F#,Loops-Continue,127,6,5,306
F#,Loops-Do-while,35,2,1,95
F#,Loops-For,46,9,8,134
F#,Loops-N-plus-one-half,60,11,9,193
F#,Loops-Nested,94,6,4,255
F#,Loops-While,29,3,2,70
F#,Luhn-test-of-credit-card-numbers,94,8,7,198
F#,Map-range,107,7,4,215
F#,Monty-Hall-problem,352,33,23,1232
F#,Multiplication-tables,169,20,17,605
F#,Mutual-recursion,65,9,8,142
F#,N-queens-problem,318,43,31,1133
F#,Nth,143,16,12,389
F#,Nth-root,196,22,20,561
F#,Number-names,539,59,46,1542
F#,Number-reversal-game,210,22,16,638
F#,Ordered-words,97,14,10,333
F#,Palindrome-detection,56,7,6,192
F#,Pangram-checker,29,2,1,75
F#,Parsing-RPN-calculator-algorithm,220,24,20,639
F#,Pascals-triangle,133,6,4,335
F#,Perfect-numbers,58,4,2,144
F#,Pi,193,15,11,423
F#,Population-count,195,6,4,485
F#,Power-set,34,5,4,96
F#,Primality-by-trial-division,157,19,16,566
F#,Priority-queue,1153,104,78,4411
F#,Range-expansion,212,24,15,703
F#,Range-extraction,295,25,18,859
F#,Real-constants-and-functions,170,16,13,594
F#,Reverse-a-string,74,4,2,268
F#,Roman-numerals-Decode,178,17,16,522
F#,Rot-13,114,10,9,293
F#,Run-length-encoding,221,19,14,841
F#,Search-a-list,62,5,1,323
F#,Set,446,27,24,959
F#,Short-circuit-evaluation,113,8,6,266
F#,Sierpinski-carpet,134,17,12,403
F#,Sierpinski-triangle,112,14,12,343
F#,Sieve-of-Eratosthenes,358,18,16,937
F#,Sleep,57,11,9,233
F#,Sort-using-a-custom-comparator,95,11,7,306
F#,Sorting-algorithms-Bubble-sort,100,9,8,339
F#,Sorting-algorithms-Gnome-sort,108,10,9,258
F#,Sorting-algorithms-Insertion-sort,162,15,10,596
F#,Sorting-algorithms-Quicksort,47,6,5,165
F#,Sorting-algorithms-Selection-sort,72,10,9,277
F#,Stack,150,21,15,495
F#,String-concatenation,53,11,9,179
F#,String-matching,305,25,22,952
F#,Strip-whitespace-from-a-string-Top-and-tail,55,7,6,150
F#,Substring,133,14,12,333
F#,Substring-Top-and-tail,78,8,7,192
F#,Sum-and-product-of-an-array,28,4,3,99
F#,Sum-digits-of-an-integer,154,19,15,404
F#,Sum-multiples-of-3-and-5,183,14,8,438
F#,Symmetric-difference,103,9,6,277
F#,Take-notes-on-the-command-line,166,24,19,636
F#,Temperature-conversion,210,17,11,551
F#,The-Twelve-Days-of-Christmas,247,30,26,783
F#,Towers-of-Hanoi,124,13,11,383
F#,Vector-products,229,23,18,524
Fortran,100-doors,143,21,16,397
Fortran,100-prisoners,1456,155,85,5554
Fortran,24-game,1588,211,143,5763
Fortran,99-bottles-of-beer,213,29,16,811
Fortran,Accumulator-factory,599,80,51,1800
Fortran,Ackermann-function,176,28,20,471
Fortran,Align-columns,1600,95,64,4874
Fortran,Almost-prime,287,46,34,966
Fortran,Anagrams,1422,176,92,6074
Fortran,Anonymous-recursion,127,19,17,383
Fortran,Anti-primes,275,37,29,888
Fortran,Arbitrary-precision-integers-included-,106,13,8,288
Fortran,Arithmetic-Complex,454,29,17,1587
Fortran,Arithmetic-Integer,146,15,14,444
Fortran,Arithmetic-geometric-mean,131,16,15,340
Fortran,Array-concatenation,175,18,10,445
Fortran,Averages-Arithmetic-mean,351,21,11,1266
Fortran,Averages-Mode,914,99,67,2944
Fortran,Averages-Pythagorean-means,126,17,12,312
Fortran,Babbage-problem,59,11,9,152
Fortran,Balanced-brackets,705,98,64,2156
Fortran,Binary-search,398,21,18,1099
Fortran,Bitwise-operations,332,9,8,942
Fortran,Bulls-and-cows,643,85,58,1997
Fortran,CSV-data-manipulation,793,108,79,2839
Fortran,Caesar-cipher,345,44,25,1090
Fortran,Case-sensitivity-of-identifiers,95,17,11,297
Fortran,Catalan-numbers,278,45,21,1279
Fortran,Check-that-file-exists,46,5,3,231
Fortran,Classes,1246,180,100,5498
Fortran,Comma-quibbling,1049,67,53,3248
Fortran,Count-occurrences-of-a-substring,200,29,20,528
Fortran,Create-a-two-dimensional-array-at-runtime,130,21,13,421
Fortran,Cumulative-standard-deviation,1284,75,70,3980
Fortran,Date-format,469,70,37,1387
Fortran,Day-of-the-week,230,31,22,575
Fortran,Department-numbers,266,12,11,775
Fortran,Detect-division-by-zero,289,42,20,1076
Fortran,Determine-if-a-string-is-numeric,64,10,8,210
Fortran,Digital-root,232,32,26,564
Fortran,Dot-product,40,6,3,114
Fortran,Empty-string,120,12,6,424
Fortran,Entropy,553,59,25,1606
Fortran,Ethiopian-multiplication,406,59,41,1295
Fortran,Even-or-odd,677,79,42,1810
Fortran,Factorial,71,12,11,204
Fortran,Factors-of-an-integer,149,21,15,433
Fortran,Fibonacci-sequence,193,23,20,374
Fortran,Filter,246,44,31,910
Fortran,Five-weekends,542,58,45,1452
Fortran,FizzBuzz,103,12,10,308
Fortran,Function-composition,412,80,57,1557
Fortran,Gray-code,393,47,35,1011
Fortran,Greatest-common-divisor,72,11,9,231
Fortran,Guess-the-number,246,35,20,887
Fortran,Guess-the-number-With-feedback,221,28,22,749
Fortran,Hailstone-sequence,443,50,37,1234
Fortran,Happy-numbers,353,68,54,1229
Fortran,Harshad-or-Niven-series,436,45,28,1160
Fortran,Haversine-formula,350,35,23,1106
Fortran,Horners-rule-for-polynomial-evaluation,166,15,10,387
Fortran,Identity-matrix,57,10,7,165
Fortran,Integer-comparison,94,10,7,249
Fortran,JSON,425,49,21,1458
Fortran,Knuth-shuffle,258,34,22,707
Fortran,Last-Friday-of-each-month,205,14,13,436
Fortran,Leap-year,108,18,10,324
Fortran,Least-common-multiple,85,15,13,292
Fortran,Levenshtein-distance,456,39,25,1637
Fortran,Logical-operations,197,20,8,794
Fortran,Look-and-say-sequence,212,32,18,641
Fortran,Loop-over-multiple-arrays-simultaneously,115,16,9,373
Fortran,Loops-Break,286,32,24,720
Fortran,Loops-Continue,66,9,7,163
Fortran,Loops-Do-while,62,8,7,150
Fortran,Loops-For,41,5,4,80
Fortran,Loops-N-plus-one-half,59,9,8,133
Fortran,Loops-Nested,772,77,48,2391
Fortran,Loops-While,83,13,11,225
Fortran,Luhn-test-of-credit-card-numbers,330,38,24,878
Fortran,Map-range,154,22,14,360
Fortran,Middle-three-digits,727,74,39,2232
Fortran,Monty-Hall-problem,381,47,28,1303
Fortran,Multiplication-tables,216,11,8,622
Fortran,Mutual-recursion,139,25,21,429
Fortran,N-queens-problem,716,102,88,2086
Fortran,Nth,1076,92,49,3572
Fortran,Nth-root,289,43,30,787
Fortran,Number-names,679,68,60,1950
Fortran,Number-reversal-game,379,55,42,1099
Fortran,Ordered-words,736,114,55,4096
Fortran,Palindrome-detection,99,15,8,307
Fortran,Pangram-checker,293,49,30,1078
Fortran,Parsing-RPN-calculator-algorithm,875,49,36,2787
Fortran,Pascals-triangle,179,27,17,479
Fortran,Perfect-numbers,108,13,11,301
Fortran,Pi,377,49,39,1443
Fortran,Population-count,365,52,42,901
Fortran,Primality-by-trial-division,137,20,18,430
Fortran,Priority-queue,679,102,66,2186
Fortran,Range-expansion,1480,101,76,5219
Fortran,Range-extraction,959,60,47,2999
Fortran,Real-constants-and-functions,124,11,9,399
Fortran,Reverse-a-string,124,17,11,384
Fortran,Roman-numerals-Decode,262,42,27,777
Fortran,Rot-13,464,59,38,1407
Fortran,Run-length-encoding,520,60,37,1620
Fortran,Search-a-list,212,36,24,628
Fortran,Short-circuit-evaluation,367,52,40,1035
Fortran,Sierpinski-carpet,279,43,34,751
Fortran,Sierpinski-triangle,214,30,21,608
Fortran,Sieve-of-Eratosthenes,220,20,15,541
Fortran,Sleep,116,19,12,377
Fortran,Sort-using-a-custom-comparator,169,27,18,549
Fortran,Sorting-algorithms-Bubble-sort,147,20,18,394
Fortran,Sorting-algorithms-Gnome-sort,626,97,62,1744
Fortran,Sorting-algorithms-Insertion-sort,128,16,15,314
Fortran,Sorting-algorithms-Quicksort,419,58,43,1444
Fortran,Sorting-algorithms-Selection-sort,219,28,18,609
Fortran,Stack,704,112,86,2357
Fortran,String-concatenation,58,11,6,204
Fortran,String-matching,587,63,42,2323
Fortran,Strip-whitespace-from-a-string-Top-and-tail,238,30,15,777
Fortran,Substring,260,25,13,955
Fortran,Substring-Top-and-tail,65,12,7,213
Fortran,Sum-and-product-of-an-array,42,6,4,116
Fortran,Sum-digits-of-an-integer,765,92,45,2255
Fortran,Sum-multiples-of-3-and-5,685,40,35,1963
Fortran,Symmetric-difference,220,23,16,647
Fortran,Take-notes-on-the-command-line,294,30,23,981
Fortran,Temperature-conversion,224,27,16,627
Fortran,The-Twelve-Days-of-Christmas,304,33,12,1056
Fortran,Towers-of-Hanoi,1375,141,73,4976
Fortran,Vector-products,341,40,23,942
GDScript,100-doors,169,24,14,601
GDScript,100-prisoners,436,66,44,1638
GDScript,99-bottles-of-beer,256,25,18,881
GDScript,Arithmetic-Integer,160,30,24,530
GDScript,Balanced-brackets,247,41,31,989
GDScript,FizzBuzz,75,15,12,205
GDScript,Loop-over-multiple-arrays-simultaneously,169,20,15,587
GDScript,Loops-Break,74,16,11,218
GDScript,Loops-Continue,54,12,8,162
GDScript,Map-range,92,6,4,187
GDScript,Sorting-algorithms-Bubble-sort,172,26,18,685
GDScript,Stack,132,26,17,483
GDScript,String-concatenation,44,12,7,171
GDScript,String-matching,76,15,10,332
Gleam,Ackermann-function,178,21,19,411
Gleam,Arithmetic-Integer,202,21,16,631
Gleam,Array-concatenation,66,12,10,193
Gleam,Date-format,67,11,9,227
Gleam,Detect-division-by-zero,182,24,18,581
Gleam,Determine-if-a-string-is-numeric,53,10,8,188
Gleam,Digital-root,366,50,42,1088
Gleam,Dot-product,191,19,16,559
Gleam,Empty-string,43,9,6,154
Gleam,Ethiopian-multiplication,218,30,23,621
Gleam,Even-or-odd,65,16,13,184
Gleam,Factorial,35,7,6,80
Gleam,Fibonacci-sequence,81,11,9,216
Gleam,Filter,62,8,6,120
Gleam,FizzBuzz,111,19,16,301
Gleam,Function-composition,82,9,7,192
Gleam,Greatest-common-divisor,93,20,16,265
Gleam,Look-and-say-sequence,128,18,15,401
Gleam,Luhn-test-of-credit-card-numbers,239,26,23,607
Gleam,Multiplication-tables,184,22,19,505
Gleam,Nth,188,25,21,461
Gleam,Set,155,21,19,547
Gleam,Sorting-algorithms-Quicksort,173,20,17,495
Gleam,Stack,246,39,25,804
Gleam,Sum-and-product-of-an-array,77,11,9,239
Gleam,Sum-digits-of-an-integer,173,23,19,502
Gleam,Sum-multiples-of-3-and-5,142,18,14,388
Gleam,Symmetric-difference,113,12,10,376
Gleam,Temperature-conversion,162,25,20,477
Gleam,Vector-products,477,55,46,1319
Go,100-doors,97,21,16,375
Go,100-prisoners,467,68,61,1990
Go,24-game,449,69,66,1726
Go,99-bottles-of-beer,678,81,67,2169
Go,ABC-problem,260,40,35,794
Go,Accumulator-factory,167,35,31,707
Go,Ackermann-function,118,16,15,302
Go,Align-columns,414,62,54,1478
Go,Almost-prime,173,37,32,540
Go,Anagrams,297,48,43,1006
Go,Anonymous-recursion,303,46,40,933
Go,Anti-primes,165,32,28,528
Go,Arbitrary-precision-integers-included-,117,20,17,304
Go,Arithmetic-Complex,135,19,16,347
Go,Arithmetic-Integer,338,30,17,923
Go,Arithmetic-geometric-mean,93,20,15,253
Go,Array-concatenation,456,58,48,1491
Go,Arrays,491,64,29,1819
Go,Averages-Arithmetic-mean,523,66,53,1698
Go,Averages-Mode,313,58,45,1143
Go,Averages-Pythagorean-means,132,19,16,336
Go,Babbage-problem,109,21,18,412
Go,Balanced-brackets,266,55,49,958
Go,Binary-search,98,13,12,322
Go,Bitwise-operations,334,39,26,974
Go,Bulls-and-cows,450,69,60,1847
Go,CSV-data-manipulation,284,59,52,971
Go,Caesar-cipher,432,60,53,1420
Go,Case-sensitivity-of-identifiers,445,48,30,1469
Go,Catalan-numbers,192,28,24,613
Go,Check-that-file-exists,106,25,21,388
Go,Classes,471,51,26,1881
Go,Comma-quibbling,175,31,27,568
Go,Count-occurrences-of-a-substring,58,11,9,217
Go,Create-a-two-dimensional-array-at-runtime,55,7,5,157
Go,Create-an-HTML-table,219,37,27,664
Go,Cumulative-standard-deviation,137,24,20,375
Go,Date-format,49,10,7,169
Go,Day-of-the-week,87,14,11,274
Go,Department-numbers,161,22,19,554
Go,Detect-division-by-zero,74,17,13,232
Go,Determine-if-a-string-is-numeric,143,29,25,470
Go,Digital-root,564,69,57,1456
Go,Dot-product,165,31,26,453
Go,Empty-string,111,24,17,391
Go,Entropy,121,26,21,412
Go,Ethiopian-multiplication,128,23,16,378
Go,Even-or-odd,333,49,39,1070
Go,Factorial,103,23,19,306
Go,Factors-of-an-integer,351,53,49,1060
Go,Fibonacci-sequence,89,16,14,229
Go,Filter,260,41,33,932
Go,Five-weekends,451,51,45,1622
Go,FizzBuzz,85,19,16,317
Go,Function-composition,85,12,6,360
Go,Gray-code,139,24,19,380
Go,Greatest-common-divisor,82,16,12,239
Go,Guess-the-number,132,24,21,476
Go,Guess-the-number-With-feedback,172,30,26,646
Go,Hailstone-sequence,651,69,43,2267
Go,Happy-numbers,146,30,26,363
Go,Harshad-or-Niven-series,225,48,42,712
Go,Haversine-formula,212,31,23,588
Go,Horners-rule-for-polynomial-evaluation,87,15,11,227
Go,Identity-matrix,91,20,15,257
Go,Integer-comparison,145,27,24,420
Go,JSON,373,60,51,1392
Go,Knapsack-problem-0-1,471,58,51,1174
Go,Knuth-shuffle,345,49,31,1285
Go,Last-Friday-of-each-month,161,23,20,430
Go,Leap-year,32,4,3,88
Go,Least-common-multiple,106,18,13,290
Go,Levenshtein-distance,263,39,34,795
Go,Logical-operations,372,36,9,892
Go,Look-and-say-sequence,157,32,28,477
Go,Loop-over-multiple-arrays-simultaneously,88,14,10,203
Go,Loops-Break,77,19,16,279
Go,Loops-Continue,62,15,12,216
Go,Loops-Do-while,42,15,12,182
Go,Loops-For,56,13,10,177
Go,Loops-N-plus-one-half,51,15,12,194
Go,Loops-Nested,164,33,28,595
Go,Loops-While,28,6,5,57
Go,Luhn-test-of-credit-card-numbers,202,36,30,579
Go,Map-range,317,38,30,925
Go,Middle-three-digits,415,60,55,1281
Go,Monty-Hall-problem,251,28,24,723
Go,Multiplication-tables,157,28,25,494
Go,Mutual-recursion,132,24,20,339
Go,N-queens-problem,1247,137,107,3157
Go,Nth,209,38,34,645
Go,Nth-root,445,66,55,1159
Go,Number-names,451,59,52,1166
Go,Number-reversal-game,289,44,41,968
Go,Ordered-words,319,58,43,1390
Go,Palindrome-detection,73,11,10,195
Go,Pangram-checker,221,38,33,692
Go,Parsing-RPN-calculator-algorithm,330,44,40,1269
Go,Pascals-triangle,245,43,35,801
Go,Perfect-numbers,211,38,29,724
Go,Pi,578,84,69,1528
Go,Population-count,118,14,13,290
Go,Power-set,919,142,110,3170
Go,Primality-by-trial-division,90,16,14,235
Go,Priority-queue,271,44,32,870
Go,Range-expansion,382,65,61,1688
Go,Range-extraction,433,56,52,1260
Go,Real-constants-and-functions,645,55,29,2288
Go,Reverse-a-string,538,77,63,1899
Go,Roman-numerals-Decode,608,85,72,2257
Go,Rot-13,135,24,19,389
Go,Run-length-encoding,476,72,63,1504
Go,Search-a-list,345,15,13,853
Go,Set,982,134,100,2797
Go,Short-circuit-evaluation,169,33,25,530
Go,Sierpinski-carpet,173,29,23,662
Go,Sierpinski-triangle,156,27,23,515
Go,Sieve-of-Eratosthenes,373,61,52,1145
Go,Sleep,71,14,11,269
Go,Sort-using-a-custom-comparator,172,28,22,568
Go,Sorting-algorithms-Bubble-sort,173,30,25,590
Go,Sorting-algorithms-Gnome-sort,151,28,24,451
Go,Sorting-algorithms-Insertion-sort,153,24,19,429
Go,Sorting-algorithms-Quicksort,730,94,66,3202
Go,Sorting-algorithms-Selection-sort,169,27,22,491
Go,String-concatenation,107,22,9,486
Go,String-matching,226,31,27,778
Go,Strip-whitespace-from-a-string-Top-and-tail,130,23,17,504
Go,Substring,316,30,21,1010
Go,Substring-Top-and-tail,218,24,19,785
Go,Sum-and-product-of-an-array,64,15,10,198
Go,Sum-digits-of-an-integer,316,52,44,856
Go,Sum-multiples-of-3-and-5,237,32,27,630
Go,Symmetric-difference,131,22,18,422
Go,Take-notes-on-the-command-line,284,50,44,872
Go,Temperature-conversion,173,28,25,505
Go,The-Twelve-Days-of-Christmas,233,26,20,728
Go,Towers-of-Hanoi,279,43,25,1080
Go,Vector-products,226,37,28,610
Groovy,100-doors,55,6,5,132
Groovy,100-prisoners,460,62,53,1935
Groovy,24-game,407,68,51,1626
Groovy,99-bottles-of-beer,89,11,9,236
Groovy,ABC-problem,92,13,10,375
Groovy,Accumulator-factory,94,24,16,361
Groovy,Ackermann-function,66,5,4,155
Groovy,Align-columns,203,15,12,810
Groovy,Almost-prime,177,35,34,655
Groovy,Anagrams,96,6,5,347
