language,task,tokens,lines,sloc,chars
Ada,String-matching,270,21,19,783
Ada,Strip-whitespace-from-a-string-Top-and-tail,99,11,10,338
Ada,Substring-Top-and-tail,243,34,28,802
Ada,Sum-and-product-of-an-array,64,8,6,182
Ada,Sum-digits-of-an-integer,274,29,22,814
Ada,Sum-multiples-of-3-and-5,319,40,34,1185
Ada,Symmetric-difference,227,28,25,802
Ada,Take-notes-on-the-command-line,402,52,51,1733
Ada,Temperature-conversion,234,15,13,650
Ada,The-Twelve-Days-of-Christmas,361,37,33,1398
Ada,Towers-of-Hanoi,182,16,14,542
Ada,Vector-products,821,79,69,2857
Apex,99-bottles-of-beer,70,8,7,274
Apex,ABC-problem,385,46,39,1348
Apex,Array-concatenation,49,5,4,171
Apex,Arrays,74,5,4,265
Apex,Count-occurrences-of-a-substring,80,12,11,304
Apex,Date-format,69,6,5,220
Apex,Determine-if-a-string-is-numeric,85,9,7,375
Apex,Empty-string,32,3,2,139
Apex,Factorial,68,12,11,228
Apex,Fibonacci-sequence,429,44,19,1782
Apex,Filter,188,16,15,688
Apex,FizzBuzz,76,11,10,247
Apex,JSON,100,15,9,398
Apex,Logical-operations,63,7,6,181
Apex,Loops-For,93,22,17,302
Apex,Set,290,30,17,1198
Apex,String-concatenation,34,8,4,114
Apex,Substring,154,16,8,486
Apex,Substring-Top-and-tail,138,17,14,515
Apex,Symmetric-difference,233,29,19,863
Assembly,100-doors,488,69,32,1590
Assembly,Accumulator-factory,1196,153,117,3980
Assembly,Ackermann-function,215,30,27,574
Assembly,Anonymous-recursion,837,89,67,2809
Assembly,Arithmetic-Integer,129,23,17,517
Assembly,Arrays,620,79,65,1469
Assembly,Babbage-problem,703,80,23,2801
Assembly,Balanced-brackets,311,67,47,957
Assembly,Bitwise-operations,559,105,86,1290
Assembly,Caesar-cipher,1414,103,94,4448
Assembly,Dot-product,441,71,52,1355
Assembly,Ethiopian-multiplication,495,30,23,1366
Assembly,Factorial,114,18,12,361
Assembly,Factors-of-an-integer,303,33,31,993
Assembly,Fibonacci-sequence,511,52,26,1819
Assembly,FizzBuzz,656,105,92,1708
Assembly,Greatest-common-divisor,137,25,20,389
Assembly,Guess-the-number,662,103,65,2083
Assembly,Haversine-formula,1626,86,73,6143
Assembly,Leap-year,140,18,16,314
Assembly,Least-common-multiple,543,92,58,1602
Assembly,Loop-over-multiple-arrays-simultaneously,459,52,46,1512
Assembly,Loops-Continue,531,88,82,1657
Assembly,Loops-Do-while,167,26,23,491
Assembly,Loops-For,141,22,15,549
Assembly,Loops-While,271,41,25,1032
Assembly,Mutual-recursion,353,83,68,813
Assembly,Palindrome-detection,175,36,29,493
Assembly,Pascals-triangle,457,79,71,1140
Assembly,Rot-13,400,55,44,895
Assembly,Sierpinski-carpet,757,161,84,2050
Assembly,Sierpinski-triangle,316,29,28,878
Assembly,Sorting-algorithms-Bubble-sort,290,31,28,943
Bash/Shell,100-doors,146,23,18,337
Bash/Shell,24-game,192,31,23,589
Bash/Shell,ABC-problem,305,40,32,963
Bash/Shell,Accumulator-factory,134,19,14,325
Bash/Shell,Ackermann-function,85,12,11,174
Bash/Shell,Align-columns,321,38,21,902
Bash/Shell,Anagrams,339,37,31,972
Bash/Shell,Anonymous-recursion,109,18,17,293
Bash/Shell,Arithmetic-Complex,490,76,61,1533
Bash/Shell,Arithmetic-Integer,114,8,6,257
Bash/Shell,Array-concatenation,60,10,8,112
Bash/Shell,Arrays,38,6,5,88
Bash/Shell,Averages-Arithmetic-mean,122,23,19,234
Bash/Shell,Averages-Mode,95,16,13,248
Bash/Shell,Babbage-problem,892,85,36,2999
Bash/Shell,Balanced-brackets,267,39,34,736
Bash/Shell,Binary-search,75,12,7,213
Bash/Shell,Bulls-and-cows,971,151,115,2695
Bash/Shell,CSV-data-manipulation,44,4,3,104
Bash/Shell,Caesar-cipher,434,57,52,1439
Bash/Shell,Case-sensitivity-of-identifiers,30,5,4,93
Bash/Shell,Check-that-file-exists,71,9,8,201
Bash/Shell,Classes,84,20,14,248
Bash/Shell,Comma-quibbling,86,16,15,255
Bash/Shell,Count-occurrences-of-a-substring,73,16,11,219
Bash/Shell,Create-an-HTML-table,250,39,34,683
Bash/Shell,Day-of-the-week,72,6,5,148
Bash/Shell,Department-numbers,189,23,21,463
Bash/Shell,Determine-if-a-string-is-numeric,93,22,17,229
Bash/Shell,Digital-root,126,16,12,427
Bash/Shell,Empty-string,148,14,6,511
Bash/Shell,Ethiopian-multiplication,140,31,25,358
Bash/Shell,Factorial,41,6,5,112
Bash/Shell,Factors-of-an-integer,95,12,11,212
Bash/Shell,Fibonacci-sequence,67,13,9,130
Bash/Shell,Filter,39,3,2,76
Bash/Shell,Five-weekends,100,13,10,253
Bash/Shell,FizzBuzz,102,14,13,219
Bash/Shell,Function-composition,1187,138,73,3604
Bash/Shell,Greatest-common-divisor,109,15,8,272
Bash/Shell,Guess-the-number,129,15,8,437
Bash/Shell,Guess-the-number-With-feedback,213,27,25,648
Bash/Shell,Hailstone-sequence,326,38,24,945
Bash/Shell,Happy-numbers,216,34,30,575
Bash/Shell,Harshad-or-Niven-series,236,37,33,596
Bash/Shell,Horners-rule-for-polynomial-evaluation,74,14,12,168
Bash/Shell,Identity-matrix,37,2,1,70
Bash/Shell,Integer-comparison,161,21,14,420
Bash/Shell,Knuth-shuffle,160,22,16,418
Bash/Shell,Last-Friday-of-each-month,165,18,8,515
Bash/Shell,Leap-year,37,2,1,84
Bash/Shell,Least-common-multiple,171,22,14,406
Bash/Shell,Logical-operations,111,14,12,288
Bash/Shell,Look-and-say-sequence,136,18,16,373
Bash/Shell,Loop-over-multiple-arrays-simultaneously,59,7,6,106
Bash/Shell,Loops-Break,67,8,7,135
Bash/Shell,Loops-Continue,62,11,10,152
Bash/Shell,Loops-Do-while,34,6,5,76
Bash/Shell,Loops-For,55,7,6,106
Bash/Shell,Loops-N-plus-one-half,49,7,6,110
Bash/Shell,Loops-Nested,133,20,17,293
Bash/Shell,Loops-While,32,6,5,63
Bash/Shell,Luhn-test-of-credit-card-numbers,132,17,15,320
