rank,name,tei,tokens_per_task,lines_per_task,rosetta_tasks,tokens_per_sloc,tokens_per_line,chars_per_token,code_chars_per_token,rc_chars_per_token,med_tok_file,med_lines_file,session,files,sloc,lines,tok,comment_token_share,cl_ratio,repos
37,Objective-C,78,185.1,25.8,50,10.12,9.19,4.48,4.47,3.495,8157.5,916.5,6757,10,7569,9143,84044,0.09,0.97,https://github.com/facebook/facebook-ios-sdk
38,Visual Basic (.Net),75,192.1,24.4,73,11.23,9.61,5.63,5.75,3.747,24021,2639,6150,10,17931,27456,263743,0.24,0.99,https://github.com/dotnet/roslyn
39,Delphi,74,195.6,33,113,9.15,8.26,3.58,3.45,3.18,37887.5,4701,4729.5,10,34612,42333,349876,0.09,0.99,https://github.com/project-jedi/jcl
40,VBA,74,195.6,23.7,118,12.63,11.37,3.81,3.7,3.237,11057.5,1058,6826.5,10,11327,15929,181053,0.21,0.99,https://github.com/sancarn/stdVBA
41,Go,73,198.4,31.8,139,9.48,9.17,3.8,3.59,3.241,22179,2478,5961.5,10,21157,28122,257992,0.22,1,https://github.com/prometheus/prometheus
42,C++,70,207.9,29.7,139,9.83,8.87,4.05,3.98,3.416,30840,3277,6026.5,10,27617,34074,302154,0.1,1,https://github.com/protocolbuffers/protobuf
43,Ada,67,217.6,26.9,139,8.92,7.95,4.48,4.38,3.598,11792.5,1636,5200,10,10525,16486,131008,0.28,0.99,https://github.com/AdaCore/gnatcoll-core
44,C,64,225.5,32.2,139,8.54,7.78,3.65,3.35,3.031,49260.5,6567.5,5316.5,10,38426,63020,490274,0.33,1,https://github.com/postgres/postgres
45,Zig,57,253.3,28.7,62,10.29,10.02,3.35,3.28,3.341,49625.5,4388.5,6841.5,10,39622,46686,468009,0.13,1,https://github.com/ziglang/zig
46,Fortran,53,271.4,32.6,134,12.12,10.62,3.45,3.46,3.249,7540.5,734,6931.5,10,5439,14902,158195,0.58,1,https://github.com/Reference-LAPACK/lapack
47,Cobol,41,356.7,46.7,105,11.97,10.73,5.76,5.33,3.89,2024.5,199,,6,1171,1407,15103,0.07,0.99,https://github.com/openmainframeproject/cobol-check
48,Assembly,27,532.2,68.6,33,14.58,13.26,2.44,2.37,3.108,14487.5,1236,8719,10,12988,15292,202739,0.07,1,https://github.com/FFmpeg/FFmpeg
,HTML/CSS,,,,0,11.92,11.45,4.6,4.58,,21631.5,1863.5,5616.5,10,19275,21107,241570,0.05,1,https://github.com/ColorlibHQ/AdminLTE
,Solidity,,,,0,10,9.17,4.15,4.1,,8442.5,889.5,5662,10,5169,10134,92905,0.44,1,https://github.com/OpenZeppelin/openzeppelin-contracts
